ST	penA	mtrR	porB	ponA	gyrA	parC	23S
884	166	9	8	100	1	100	100
885	166	16	19	100	1	18	100
886	166	164	100	100	1	18	100
887	23	10	100	1	100	1	100
888	23	10	13	100	7	20	100
889	23	1	13	1	7	3	100
890	23	1	13	100	7	4	100
891	23	18	14	100	1	18	100
892	23	18	100	1	1	18	100
893	23	18	100	100	100	2	100
894	23	18	100	1	7	2	100
895	23	19	12	1	7	3	100
896	23	19	100	100	1	18	100
897	23	40	12	100	1	4	100
898	23	40	100	100	1	4	100
899	23	54	14	100	1	20	100
900	23	140	3	1	7	3	100
901	166	16	14	100	1	18	100
902	166	24	11	100	100	2	100
903	166	25	8	100	100	100	100
904	166	25	11	100	100	100	100
905	166	161	14	100	100	7	100
906	515	10	4	100	1	55	100
907	515	19	13	1	2	10	100
908	1235	9	1	100	100	100	100
909	290	1	11	1	7	3	100
910	290	1	8	1	7	62	100
911	20	25	8	100	100	1	100
912	20	50	3	100	22	1	100
913	20	150	100	100	100	2	100
914	20	25	17	100	100	1	100
915	1517	54	14	100	100	2	100
916	1517	54	11	100	100	2	100
917	1930	15	100	100	100	7	100
918	1521	1	10	1	1	25	100
919	266	16	8	1	7	3	100
920	266	1	8	1	7	3	2
921	266	1	11	1	7	62	100
922	266	1	16	1	1	3	100
923	266	165	11	1	1	3	100
924	266	69	100	1	1	3	100
925	266	1	11	1	100	3	100
926	1608	1	11	1	1	3	100
927	494	1	8	1	1	3	100
928	494	36	8	1	100	2	100
929	529	1	4	1	7	15	100
930	645	16	10	1	7	10	100
931	645	16	100	1	1	10	100
932	645	16	12	1	1	10	100
933	645	16	10	1	1	45	100
934	288	1	21	1	1	3	100
935	288	1	1	1	1	23	100
936	288	1	8	1	1	23	100
937	288	1	14	1	1	3	100
938	288	1	16	1	1	3	100
939	288	2	11	100	1	3	100
940	288	10	8	1	1	3	100
941	288	10	12	1	1	3	100
942	288	10	14	1	1	3	100
943	357	25	3	100	100	100	16
944	504	25	16	100	100	27	100
945	504	25	4	100	100	27	6
946	504	25	4	100	100	27	100
947	504	50	3	100	100	7	100
948	509	1	8	1	7	3	2
949	509	54	14	100	7	20	100
950	1320	125	14	1	7	17	100
951	531	1	11	1	1	3	100
952	547	1	11	1	1	3	100
953	664	16	10	1	1	10	100
954	813	9	1	100	100	100	100
955	1234	3	1	100	100	2	100
957	1301	19	14	100	7	3	100
958	285	1	13	1	1	22	100
959	285	25	1	100	100	100	100
960	285	1	14	1	1	22	100
961	663	58	3	1	100	2	100
962	17	171	100	100	100	1	100
